5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 2 Flow (Veh/5 Minutes),Flow (Veh/5 Minutes),# Lane Points,% Observed
8/31/2018 20:35,12,0,12,2,50
8/31/2018 20:40,16,0,16,2,50
8/31/2018 20:45,21,0,21,2,50
8/31/2018 20:50,11,0,11,2,50
8/31/2018 20:55,14,0,14,2,50
9/04/2018 15:00,0,0,0,2,0
9/04/2018 15:05,0,0,0,2,0
9/04/2018 15:10,0,0,0,2,0
9/04/2018 15:15,0,0,0,2,0
9/04/2018 15:20,0,0,0,2,0
9/04/2018 15:25,0,0,0,2,0
9/04/2018 15:30,0,0,0,2,0
9/04/2018 15:35,0,0,0,2,0
9/04/2018 15:40,0,0,0,2,0
9/04/2018 15:45,0,0,0,2,0
9/04/2018 15:50,0,0,0,2,0
9/04/2018 15:55,0,0,0,2,0
9/04/2018 16:00,0,0,0,2,0
9/04/2018 16:05,0,0,0,2,0
9/04/2018 16:10,0,0,0,2,0
9/04/2018 16:15,0,0,0,2,0
9/04/2018 16:20,0,0,0,2,0
9/04/2018 16:25,0,0,0,2,0
9/04/2018 16:30,0,0,0,2,0
9/04/2018 16:35,0,0,0,2,0
9/04/2018 16:40,0,0,0,2,0
9/04/2018 16:45,0,0,0,2,0
9/04/2018 16:50,0,0,0,2,0
9/04/2018 16:55,0,0,0,2,0
9/04/2018 17:00,0,0,0,2,0
9/04/2018 17:05,0,0,0,2,0
9/04/2018 17:10,0,0,0,2,0
9/04/2018 17:15,0,0,0,2,0
9/04/2018 17:20,0,0,0,2,0
9/04/2018 17:25,0,0,0,2,0
9/04/2018 17:30,0,0,0,2,0
9/04/2018 17:35,0,0,0,2,0
9/04/2018 17:40,0,0,0,2,0
9/04/2018 17:45,0,0,0,2,0
9/04/2018 17:50,0,0,0,2,0
9/04/2018 17:55,0,0,0,2,0
9/04/2018 18:00,0,0,0,2,0
9/04/2018 18:05,0,0,0,2,0
9/04/2018 18:10,0,0,0,2,0
9/04/2018 18:15,0,0,0,2,0
9/04/2018 18:20,70,0,70,2,50
9/04/2018 18:25,0,0,0,2,0
9/04/2018 18:30,0,0,0,2,0
9/04/2018 18:35,0,0,0,2,0
9/04/2018 18:40,0,0,0,2,0
9/04/2018 18:45,0,0,0,2,0
9/04/2018 18:50,0,0,0,2,0
9/04/2018 18:55,0,0,0,2,0
9/04/2018 19:00,0,0,0,2,0
9/04/2018 19:05,0,0,0,2,0
9/04/2018 19:10,0,0,0,2,0
9/04/2018 19:15,10,0,10,2,50
9/04/2018 19:20,0,0,0,2,0
9/04/2018 19:25,0,0,0,2,0
